ef_base_id,native_pes21_id,physical_source_id,canonical_name,status,source_card_id,stats_source_card_id,portrait_asset_id,face_owner_id,commentary_owner_id
181473,181473,627901,Lucas Marezi,active,181473,181473,181473,,
181474,181474,627902,Gustavo Veiga,active,181474,181474,181474,,
181477,181477,627904,Claudinho,active,181477,181477,181477,,
181478,181478,627919,Kauan Stabelini,active,181478,181478,181478,,
181480,181480,627925,Anis Fatahine,active,181480,181480,181480,,
181481,181481,627928,Emanuele Borsani,active,181481,181481,181481,,
181483,181483,627944,Paolo Limon,active,181483,181483,181483,,
181484,181484,627946,Millan Brignone,active,181484,181484,181484,,
181485,181485,627947,Stephane Noumbissie,active,181485,181485,181485,,
181486,181486,627950,Nathan Mbala,active,181486,181486,181486,,
181487,181487,627951,Tahirys Dos Santos,active,181487,181487,181487,,
181488,181488,627955,Jean-Baptiste Bosey,active,181488,181488,181488,,
181489,539450,539450,Daniel Banjaqui,active,181489,181489,539450,,539450
181490,181490,627965,Charlie Gray,active,181490,181490,181490,,
181491,181491,627968,Nathan Dlamini,active,181491,181491,181491,,
181492,181492,627974,Mehmet Öz,active,181492,181492,181492,,
181493,181493,627975,Nattio Sonnerat,active,181493,181493,181493,,
181494,181494,627978,Maël Gernigon,active,181494,181494,181494,,
181495,181495,627982,Sebastian Walker,active,181495,181495,181495,,
181497,181497,627989,Muhammed Bah,active,181497,181497,181497,,
181498,181498,627991,Hakeem Agboluaje,active,181498,181498,181498,,
181500,539459,539459,Abdellah Ouazane,active,181500,181500,539459,,539459
181510,181510,627995,Josh Bickerton,active,181510,181510,181510,,
181515,181515,627999,Mattia Alborghetti,active,181515,181515,181515,,
181516,181516,628069,Michele Sanguineti,active,181516,181516,181516,,
181519,181519,628084,Mustafa Kök,active,181519,181519,181519,,
181520,181520,628085,Alaettin Ekici,active,181520,181520,181520,,
181521,181521,628086,Luiz Otávio,active,181521,181521,181521,,
181526,181526,628090,Vincenzo Prisco,active,181526,181526,181526,,
181527,181527,628098,Ahmet Bircan,active,181527,181527,181527,,
181529,181529,628103,Joshua Nga Kana,active,181529,181529,181529,,
181544,181544,628104,Thomas Rousseau,active,181544,181544,181544,,
181545,181545,628107,Thierno Bah,active,181545,181545,181545,,
181546,181546,628108,Yanis Beau Djellel,active,181546,181546,181546,,
181548,181548,628118,Emilien Grosso,active,181548,181548,181548,,
181549,181549,628119,Mamadou Sadio,active,181549,181549,181549,,
